nombre,categoria,direccion,cp,ciudad,provincia,telefono,movil_whatsapp,email,web,horario,servicios,valoracion,num_opiniones,calidad,estado_revision,observaciones,mapa,fecha_recopilacion,fuente_1,fuente_2,imagen_placeholder,placeholder_publicable,imagen_publica_referencia,url_imagen_publica,pagina_fuente_imagen,permiso_foto_real,estado_imagen,fecha_revision_imagen
Talleres Voramar,Taller de automóviles,"Carrer d'Alfafar, 1",46460,Silla,Valencia,,635 68 56 60,,,L-V 09:00-14:00 y 16:00-20:00; S 09:00-13:30; D cerrado,Reparación de automóviles,,,Alta,Datos recientes; contactar antes de publicar,Móvil público; posible uso de WhatsApp no confirmado.,https://www.google.com/maps/search/?api=1&query=Talleres+Voramar+Carrer+d%27Alfafar%2C+1+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-voramar-13091132.html,,imagenes_placeholder/11-talleres-voramar.jpg,sí,,https://talleraqui.com/im/images/1ea3b8f6-bbd0-412a-a769-3bd1284ee3f1.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-voramar,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Boni Reparación,Vehículos industriales y maquinaria,Servicio móvil / dirección no publicada,46460,Silla,Valencia,,687 69 11 19,,https://bonireparacion.es,"24 horas, todos los días (según directorio)","Reparación de vehículos industriales, agrícolas y maquinaria de obra pública",,,Media,Confirmar dirección y disponibilidad 24 h,Parece servicio móvil; no consta domicilio público exacto.,https://www.google.com/maps/search/?api=1&query=Boni+Reparaci%C3%B3n+Servicio+m%C3%B3vil+%2F+direcci%C3%B3n+no+publicada+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/boni-reparaci%C3%B3n-14509486.html,https://bonireparacion.es,imagenes_placeholder/12-boni-reparacion.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Inrema S.L.,Mantenimiento y reparación industrial / taller,"Carrer del Molinell, 8-10",46460,Silla,Valencia,961 21 95 70,,,http://inrema.es,L-V 08:30-13:30 y 15:00-18:00; S-D cerrado,Mantenimiento y suministros industriales; figura también como taller mecánico,,,Media,Confirmar que atiende automóviles particulares,Puede ser principalmente industrial; no publicar como taller de coches sin confirmación.,https://www.google.com/maps/search/?api=1&query=Inrema+S.L.+Carrer+del+Molinell%2C+8-10+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/inrema-s-l--11673050.html,https://firmania.es/silla/inrema-sl-750235,imagenes_placeholder/13-inrema-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Rafael Albert Tormos,Reparación de automóviles,"Plaça del Mercat Nou, 5",46460,Silla,Valencia,961 20 27 08,,,,,Reparación de automóviles,,,Baja,Verificar existencia y horario,Ficha sin horario y con actualización antigua.,https://www.google.com/maps/search/?api=1&query=Rafael+Albert+Tormos+Pla%C3%A7a+del+Mercat+Nou%2C+5+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/rafael-albert-tormos-11801404.html,,imagenes_placeholder/14-rafael-albert-tormos.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Electromecánica Ibáñez S.L.,Electromecánica y reparación de automóviles,"Avinguda d'Alacant, 102",46460,Silla,Valencia,961 20 01 73,,,,,Electromecánica; reparación de automóviles,,,Baja,Verificar existencia y horario,Ficha sin horario y con actualización antigua.,https://www.google.com/maps/search/?api=1&query=Electromec%C3%A1nica+Ib%C3%A1%C3%B1ez+S.L.+Avinguda+d%27Alacant%2C+102+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/electromec%C3%A1nica-ib%C3%A1%C3%B1ez-s-l--12099847.html,,imagenes_placeholder/15-electromecanica-ibanez-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Els Barqueres,"Chapa, pintura y reparación de automóviles","Av. de la Séquia Real del Xúquer, 40",46460,Silla,Valencia,961 20 07 32,699 47 00 28,,,,Chapa; pintura; reparación de automóviles,,,Media,Confirmar teléfonos y horario,Dos teléfonos aparecen en directorios distintos.,https://www.google.com/maps/search/?api=1&query=Talleres+Els+Barqueres+Av.+de+la+S%C3%A9quia+Real+del+X%C3%BAquer%2C+40+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-mec%C3%A1nicos/?p=2,https://www.tallerity.com/info/talleres-els-barqueres-silla,imagenes_placeholder/16-talleres-els-barqueres.jpg,sí,,https://talleraqui.com/im/images/448e4ba3-a4db-4cd2-8d22-0e035a1e7b76.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-els-barqueres,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Ferto S.A. (Silla),"Mecánica, chapa y pintura","Carrer del Penyagolosa, 11 (P.I. Pla dels Olivars)",46460,Silla,Valencia,961 21 43 09,,,,,Mantenimiento; mecánica; inyección gasolina y diésel; chapa y pintura; aire acondicionado; neumáticos; pre-ITV; cajas automáticas,4.2,,Alta,Confirmar horario y web,Dirección y teléfono aparecen en Autingo y en el listado de negocios cercanos de Cylex.,https://www.google.com/maps/search/?api=1&query=Ferto+S.A.+%28Silla%29+Carrer+del+Penyagolosa%2C+11+%28P.I.+Pla+dels+Olivars%29+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla,https://www.cylex.es/silla/takumisan-13060076.html,imagenes_placeholder/17-ferto-s-a-silla.jpg,sí,,https://talleraqui.com/im/images/46bd75c7-8255-4453-bbad-54860d2f8cbb.jpeg?f=webp&w=256,https://talleraqui.com/taller/ferto-sa-silla,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Silla Motors,Taller de automóviles,"Av. de la Séquia Real del Xúquer, 16",46460,Silla,Valencia,961 20 02 66,,,,,Reparación y mantenimiento de automóviles,,,Media,Confirmar dirección exacta,"QDQ muestra una dirección diferente (Av. País Valencià, 126); la dirección seleccionada coincide con dos directorios y el portal municipal.",https://www.google.com/maps/search/?api=1&query=Silla+Motors+Av.+de+la+S%C3%A9quia+Real+del+X%C3%BAquer%2C+16+Silla+Valencia,2026-07-23,https://www.tallerity.com/info/silla-motors-silla,https://www.qdq.com/silla-motors-930653,imagenes_placeholder/18-silla-motors.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Bartom,Taller mecánico (registro antiguo),"Carrer de la Santíssima Trinitat, 16",46460,Silla,Valencia,961 20 06 57,,,,,Taller mecánico,,,Baja,Posible duplicado; no publicar,Comparte teléfono con Crisentimotor y está a pocos metros; probablemente registro antiguo o duplicado.,https://www.google.com/maps/search/?api=1&query=Talleres+Bartom+Carrer+de+la+Sant%C3%ADssima+Trinitat%2C+16+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-bartom-12435078.html,,imagenes_placeholder/19-talleres-bartom.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Hermanos Celda Ferrer C.B.,Taller mecánico,"Av. País Valencià, 6",46460,Silla,Valencia,,,,,,Taller mecánico,,,Baja,"Verificar teléfono, horario y actividad",Directorio indica que no pertenece a su red; datos limitados.,https://www.google.com/maps/search/?api=1&query=Hermanos+Celda+Ferrer+C.B.+Av.+Pa%C3%ADs+Valenci%C3%A0%2C+6+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla/hermanos-celda-ferrer-c-b,,imagenes_placeholder/20-hermanos-celda-ferrer-c-b.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Ximo Magallo y Cía. S.A.,Taller mecánico,"Av. dels Reis Catòlics, 4",46460,Silla,Valencia,,,,,,Taller mecánico,,,Baja,"Verificar existencia, teléfono y horario",Solo localizado en un directorio de talleres.,https://www.google.com/maps/search/?api=1&query=Ximo+Magallo+y+C%C3%ADa.+S.A.+Av.+dels+Reis+Cat%C3%B2lics%2C+4+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla,,imagenes_placeholder/21-ximo-magallo-y-cia-s-a.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
