nombre_taller,telefono,movil_whatsapp,direccion,codigo_postal,ciudad,provincia,descripcion,web,horario,activo,verificado,observaciones_verificacion,fuente,imagen_archivo_local,imagen_publica_referencia,url_imagen_origen,estado_imagen
Talleres Voramar,,635 68 56 60,"Carrer d'Alfafar, 1",46460,Silla,Valencia,Taller de automóviles. Servicios públicos localizados: Reparación de automóviles,,L-V 09:00-14:00 y 16:00-20:00; S 09:00-13:30; D cerrado,false,false,Datos recientes; contactar antes de publicar. Móvil público; posible uso de WhatsApp no confirmado.,https://www.cylex.es/silla/talleres-voramar-13091132.html,imagenes_placeholder/11-talleres-voramar.jpg,,https://talleraqui.com/im/images/1ea3b8f6-bbd0-412a-a769-3bd1284ee3f1.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Boni Reparación,,687 69 11 19,Servicio móvil / dirección no publicada,46460,Silla,Valencia,"Vehículos industriales y maquinaria. Servicios públicos localizados: Reparación de vehículos industriales, agrícolas y maquinaria de obra pública",https://bonireparacion.es,"24 horas, todos los días (según directorio)",false,false,Confirmar dirección y disponibilidad 24 h. Parece servicio móvil; no consta domicilio público exacto.,https://www.cylex.es/silla/boni-reparaci%C3%B3n-14509486.html,imagenes_placeholder/12-boni-reparacion.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Inrema S.L.,961 21 95 70,,"Carrer del Molinell, 8-10",46460,Silla,Valencia,Mantenimiento y reparación industrial / taller. Servicios públicos localizados: Mantenimiento y suministros industriales; figura también como taller mecánico,http://inrema.es,L-V 08:30-13:30 y 15:00-18:00; S-D cerrado,false,false,Confirmar que atiende automóviles particulares. Puede ser principalmente industrial; no publicar como taller de coches sin confirmación.,https://www.cylex.es/silla/inrema-s-l--11673050.html,imagenes_placeholder/13-inrema-s-l.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Rafael Albert Tormos,961 20 27 08,,"Plaça del Mercat Nou, 5",46460,Silla,Valencia,Reparación de automóviles. Servicios públicos localizados: Reparación de automóviles,,,false,false,Verificar existencia y horario. Ficha sin horario y con actualización antigua.,https://www.cylex.es/silla/rafael-albert-tormos-11801404.html,imagenes_placeholder/14-rafael-albert-tormos.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Electromecánica Ibáñez S.L.,961 20 01 73,,"Avinguda d'Alacant, 102",46460,Silla,Valencia,Electromecánica y reparación de automóviles. Servicios públicos localizados: Electromecánica; reparación de automóviles,,,false,false,Verificar existencia y horario. Ficha sin horario y con actualización antigua.,https://www.cylex.es/silla/electromec%C3%A1nica-ib%C3%A1%C3%B1ez-s-l--12099847.html,imagenes_placeholder/15-electromecanica-ibanez-s-l.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Talleres Els Barqueres,961 20 07 32,699 47 00 28,"Av. de la Séquia Real del Xúquer, 40",46460,Silla,Valencia,"Chapa, pintura y reparación de automóviles. Servicios públicos localizados: Chapa; pintura; reparación de automóviles",,,false,false,Confirmar teléfonos y horario. Dos teléfonos aparecen en directorios distintos.,https://www.cylex.es/silla/talleres-mec%C3%A1nicos/?p=2,imagenes_placeholder/16-talleres-els-barqueres.jpg,,https://talleraqui.com/im/images/448e4ba3-a4db-4cd2-8d22-0e035a1e7b76.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Ferto S.A. (Silla),961 21 43 09,,"Carrer del Penyagolosa, 11 (P.I. Pla dels Olivars)",46460,Silla,Valencia,"Mecánica, chapa y pintura. Servicios públicos localizados: Mantenimiento; mecánica; inyección gasolina y diésel; chapa y pintura; aire acondicionado; neumáticos; pre-ITV; cajas automáticas",,,false,false,Confirmar horario y web. Dirección y teléfono aparecen en Autingo y en el listado de negocios cercanos de Cylex.,https://www.autingo.es/taller-mecanico/valencia/silla,imagenes_placeholder/17-ferto-s-a-silla.jpg,,https://talleraqui.com/im/images/46bd75c7-8255-4453-bbad-54860d2f8cbb.jpeg?f=webp&w=256,Referencia pública localizada por URL; no publicar sin autorización del titular
Silla Motors,961 20 02 66,,"Av. de la Séquia Real del Xúquer, 16",46460,Silla,Valencia,Taller de automóviles. Servicios públicos localizados: Reparación y mantenimiento de automóviles,,,false,false,"Confirmar dirección exacta. QDQ muestra una dirección diferente (Av. País Valencià, 126); la dirección seleccionada coincide con dos directorios y el portal municipal.",https://www.tallerity.com/info/silla-motors-silla,imagenes_placeholder/18-silla-motors.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Talleres Bartom,961 20 06 57,,"Carrer de la Santíssima Trinitat, 16",46460,Silla,Valencia,Taller mecánico (registro antiguo). Servicios públicos localizados: Taller mecánico,,,false,false,Posible duplicado; no publicar. Comparte teléfono con Crisentimotor y está a pocos metros; probablemente registro antiguo o duplicado.,https://www.cylex.es/silla/talleres-bartom-12435078.html,imagenes_placeholder/19-talleres-bartom.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Hermanos Celda Ferrer C.B.,,,"Av. País Valencià, 6",46460,Silla,Valencia,Taller mecánico. Servicios públicos localizados: Taller mecánico,,,false,false,"Verificar teléfono, horario y actividad. Directorio indica que no pertenece a su red; datos limitados.",https://www.autingo.es/taller-mecanico/valencia/silla/hermanos-celda-ferrer-c-b,imagenes_placeholder/20-hermanos-celda-ferrer-c-b.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
Ximo Magallo y Cía. S.A.,,,"Av. dels Reis Catòlics, 4",46460,Silla,Valencia,Taller mecánico. Servicios públicos localizados: Taller mecánico,,,false,false,"Verificar existencia, teléfono y horario. Solo localizado en un directorio de talleres.",https://www.autingo.es/taller-mecanico/valencia/silla,imagenes_placeholder/21-ximo-magallo-y-cia-s-a.jpg,,,No se localizó una foto pública fiable; usar imagen provisional
